,dataset,label,count
269,DevProso,lh.S_circular_insula_inf,82
270,DevProso,lh.S_circular_insula_sup,82
271,DevProso,lh.S_collat_transv_ant,82
272,DevProso,lh.S_collat_transv_post,82
273,DevProso,lh.S_front_inf,82
274,DevProso,lh.S_front_middle,82
275,DevProso,lh.S_front_sup,82
276,DevProso,lh.S_interm_prim-Jensen,82
277,DevProso,lh.S_intrapariet&P_trans,82
278,DevProso,lh.S_occipital_ant,82
279,DevProso,lh.S_oc_middle&Lunatus,82
280,DevProso,lh.S_oc_sup&transversal,82
281,DevProso,lh.S_oc-temp_lat,82
282,DevProso,lh.S_oc-temp_med&Lingual,82
283,DevProso,lh.S_orbital-H_Shaped,82
284,DevProso,lh.S_orbital_lateral,82
285,DevProso,lh.S_orbital_med-olfact,82
286,DevProso,lh.S_parieto_occipital,82
287,DevProso,lh.SmgS,57
288,DevProso,lh.S_pericallosal,82
289,DevProso,lh.S_postcentral,82
290,DevProso,lh.S_precentral-inf-part,82
291,DevProso,lh.S_precentral-sup-part,82
292,DevProso,lh.S_suborbital,82
293,DevProso,lh.S_subparietal,82
294,DevProso,lh.S_temporal_inf,82
295,DevProso,lh.S_temporal_sup,82
296,DevProso,lh.S_temporal_transverse,82
297,DevProso,lh.Unknown,82
298,DevProso,rh.bankssts,14
299,DevProso,rh.caudalanteriorcingulate,14
300,DevProso,rh.caudalmiddlefrontal,14
301,DevProso,rh.cuneus,14
302,DevProso,rh.entorhinal,14
303,DevProso,rh.frontalpole,14
304,DevProso,rh.fusiform,14
305,DevProso,rh.G_cingul-Post-dorsal,82
306,DevProso,rh.G_cingul-Post-ventral,82
307,DevProso,rh.G_cuneus,82
308,DevProso,rh.G_front_inf-Opercular,82
309,DevProso,rh.G_front_inf-Orbital,82
310,DevProso,rh.G_front_inf-Triangul,82
311,DevProso,rh.G_front_middle,82
312,DevProso,rh.G_front_sup,82
313,DevProso,rh.G_Ins_lg&S_cent_ins,82
314,DevProso,rh.G_insular_short,82
315,DevProso,rh.G_occipital_middle,82
316,DevProso,rh.G_occipital_sup,82
317,DevProso,rh.G_oc-temp_lat-fusifor,82
318,DevProso,rh.G_oc-temp_med-Lingual,82
319,DevProso,rh.G_oc-temp_med-Parahip,82
320,DevProso,rh.G_orbital,82
321,DevProso,rh.G_parietal_sup,82
322,DevProso,rh.G_pariet_inf-Angular,82
323,DevProso,rh.G_pariet_inf-Supramar,82
324,DevProso,rh.G_postcentral,82
325,DevProso,rh.G_precentral,82
326,DevProso,rh.G_precuneus,82
327,DevProso,rh.G_rectus,82
328,DevProso,rh.G&S_cingul-Ant,82
329,DevProso,rh.G&S_cingul-Mid-Ant,82
330,DevProso,rh.G&S_cingul-Mid-Post,82
