,dataset,label,count
208,NORA,lh.IFS,20
209,NORA,lh.MCGS,72
210,NORA,lh.sprs,213
211,NORA,lh.sps,64
212,NORA,lh.NORA_PCC_all,64
213,NORA,lh.iprs,213
214,NORA,rh.ifms,80
215,NORA,lh.NORA_PCC_check,64
216,NORA,lh.test,2
217,NORA,lh.NORA_PCC_sps,56
218,NORA,lh.mFS,20
219,NORA,rh.ifs,214
220,NORA,lh.NORA_PCC_sps_v2,56
221,NORA,rh.2,72
222,NORA,lh.NORA_PCC_tst,64
223,NORA,rh.3,36
224,NORA,lh.NORA_PCC_v2,64
225,NORA,lh.NORA_ifrms,1
226,NORA,lh.NORA_ifrms2,1
227,NORA,lh.NORA_ifrms_2,1
228,NORA,lh.SFS,20
229,NORA,lh.NORA_ifrms_tertiary_8sulc_v1,64
230,NORA,rh.infs_comb,75
231,NORA,rh.infs,24
232,NORA,lh.NORA_ifrms_tertiary_sps_v1,56
233,NORA,rh.BA_exvivo,205
234,NORA,lh.PCS,20
235,NORA,rh.IFS,20
236,NORA,lh.POS,72
237,NORA,lh.mFSfs,19
238,NORA,lh.aparc.DKTatlas,206
239,NORA,lh.central,214
240,NORA,rh.MCGS,72
241,NORA,rh.BA_exvivo.thresh,205
242,NORA,rh.NORA_PCC_3,32
243,NORA,rh.NORA_PCC_3_v2,32
244,NORA,rh.NORA_PCC_all,64
245,NORA,rh.NORA_PCC_check,64
246,NORA,rh.NORA_PCC_sps,59
247,NORA,rh.NORA_PCC_sps_v2,59
248,NORA,rh.NORA_PCC_tst,64
249,NORA,rh.NORA_PCC_v2,64
250,NORA,rh.NORA_ifrms_2,1
251,NORA,rh.NORA_ifrms_tertiary_3_v1,32
252,NORA,rh.NORA_ifrms_tertiary_8sulc_v1,64
253,NORA,rh.NORA_ifrms_tertiary_sps_v1,59
254,NORA,rh.aparc.DKTatlas,206
255,NORA,rh.central,215
256,NORA,rh.dlPFC_manual,75
257,NORA,rh.dlPFC_manual.annot,74
258,NORA,rh.dlpfc_manuallabels,64
259,NORA,rh.dlpfc_painfs_manual,43
260,NORA,rh.dlpfc_painfs_manual2,43
261,NORA,rh.dlpfc_painfs_manual3,43
262,NORA,rh.dlpfc_painfs_manual4,43
263,NORA,rh.dlpfc_suppfigure,55
264,NORA,rh.dlpfc_suppfigure_final,43
265,NORA,rh.economo,194
266,NORA,lh.aparc.-025,168
267,NORA,rh.infs_h,213
268,NORA,lh.aparc.-026,168
269,NORA,rh.infs_v,213
270,NORA,rh.aparc.-007,168
271,NORA,rh.iprs,214
272,NORA,rh.aparc.-008,168
273,NORA,rh.mFS,20
274,NORA,lh.aparc.-027,168
275,NORA,rh.mFSfs,20
276,NORA,rh.aparc.-009,168
277,NORA,rh.mfms,81
278,NORA,rh.aparc.-010,168
279,NORA,rh.mfs,75
280,NORA,lh.aparc.-028,168
281,NORA,rh.painfs,192
282,NORA,lh.aparc.-024,168
283,NORA,lh.aparc.-022,168
284,NORA,lh.aparc.-029,168
285,NORA,rh.pfc_aparc,12
286,NORA,lh.aparc.-030,168
287,NORA,rh.pmfs_a,214
288,NORA,lh.aparc.-031,168
289,NORA,rh.pmfs_i,213
290,NORA,lh.aparc.-032,168
291,NORA,rh.pmfs_p,213
292,NORA,lh.aparc.-033,168
293,NORA,rh.prculs,72
294,NORA,lh.aparc.-034,168
295,NORA,rh.prcus1,72
296,NORA,rh.insula,173
297,NORA,rh.prcus2,72
298,NORA,rh.aparc.-001,168
299,NORA,rh.prcus3,72
300,NORA,rh.aparc.-002,168
301,NORA,rh.prs_comb,76
302,NORA,rh.aparc.-011,168
303,NORA,rh.sbps,72
304,NORA,rh.aparc.-003,168
305,NORA,rh.sfs_a,213
306,NORA,rh.aparc.-005,168
307,NORA,rh.sfs_comb,75
308,NORA,rh.aparc.-006,168
309,NORA,rh.sfs_p,213
310,NORA,rh.aparc.-012,168
311,NORA,rh.sprs,214
312,NORA,rh.aparc.-013,168
313,NORA,rh.sps,67
314,NORA,lh.aparc.-001,168
315,NORA,lh.aparc.-002,168
316,NORA,lh.aparc.-003,168
317,NORA,lh.aparc.-005,168
318,NORA,lh.aparc.-006,168
319,NORA,lh.aparc.-007,168
320,NORA,lh.aparc.-008,168
321,NORA,lh.aparc.-009,168
322,NORA,lh.aparc.-010,168
323,NORA,lh.aparc.-011,168
324,NORA,lh.aparc.-012,168
325,NORA,lh.aparc.-013,168
326,NORA,lh.aparc.-014,168
327,NORA,lh.aparc.-015,168
328,NORA,lh.aparc.-016,168
329,NORA,lh.aparc.-017,168
330,NORA,lh.aparc.-018,168
331,NORA,lh.aparc.-019,168
332,NORA,lh.aparc.-020,168
333,NORA,lh.aparc.-021,168
334,NORA,lh.aparc.-023,168
335,NORA,rh.aparc.-014,168
336,NORA,rh.aparc.-015,168
337,NORA,rh.aparc.-016,168
338,NORA,rh.aparc.-017,168
339,NORA,rh.aparc.-018,168
340,NORA,rh.aparc.-019,168
341,NORA,rh.aparc.-020,168
342,NORA,rh.aparc.-021,168
343,NORA,rh.aparc.-022,168
344,NORA,rh.aparc.-023,168
345,NORA,rh.aparc.-024,168
346,NORA,rh.aparc.-025,168
347,NORA,rh.aparc.-026,168
